Zeruhn report   \xFD\x13\x02\x00\x01\xFD
KEY ITEM    \xFD\x13\x02\x02\x49\xFD
Mimeo Jewel   \xFD\x13\x02\x02\x4A\xFD
Mimeo Feather   \xFD\x13\x02\x02\x4B\xFD
second Mimeo Feather    \xFD\x13\x02\x02\x4C\xFD
third Mimeo Feather   \xFD\x13\x02\x02\x4D\xFD
light of Holla    \xFD\x13\x02\x02\x4E\xFD
light of Dem    \xFD\x13\x02\x02\x4F\xFD
light of Mea    \xFD\x13\x02\x02\x50\xFD
light of Vahzl    \xFD\x13\x02\x02\x51\xFD
light of Al'Taieu   \xFD\x13\x02\x02\x52\xFD
dusty tome    \xFD\x13\x02\x02\x55\xFD
pointed jug   \xFD\x13\x02\x02\x56\xFD
cracked club    \xFD\x13\x02\x02\x57\xFD
peeling hairpin   \xFD\x13\x02\x02\x58\xFD
old nametag   \xFD\x13\x02\x02\x59\xFD
tiny wristlet   \xFD\x13\x02\x02\x5A\xFD
whispering conch    \xFD\x13\x02\x02\x5B\xFD
piece of ripped floorplans    \xFD\x13\x02\x02\x5D\xFD
hyper altimeter   \xFD\x13\x02\x02\x5F\xFD
molybdenum box    \xFD\x13\x02\x02\x60\xFD
alabaster hairpin   \xFD\x13\x02\x02\x61\xFD
Dawn talisman   \xFD\x13\x02\x02\x62\xFD
Silver Comet's collar   \xFD\x13\x02\x02\x63\xFD
envelope from Monberaux   \xFD\x13\x02\x02\x64\xFD
Delkfutt recognition device   \xFD\x13\x02\x02\x65\xFD
deed to Purgonorgo Isle   \xFD\x13\x02\x02\x66\xFD
Phoenix pearl   \xFD\x13\x02\x02\x68\xFD
Phoenix armlet    \xFD\x13\x02\x02\x67\xFD
manaclipper ticket    \xFD\x13\x02\x02\x69\xFD
barge ticket    \xFD\x13\x02\x02\x6A\xFD
Rivernewort   \xFD\x13\x02\x02\x6D\xFD
Tavnazian cookbook    \xFD\x13\x02\x02\x6E\xFD
Washu's flask   \xFD\x13\x02\x02\x6F\xFD
flask of clam water   \xFD\x13\x02\x02\x70\xFD
torn-out pages    \xFD\x13\x02\x02\x72\xFD
Tonberry blackboard   \xFD\x13\x02\x02\x73\xFD
letter from Muckvix   \xFD\x13\x02\x02\x74\xFD
letter from Magriffon   \xFD\x13\x02\x02\x75\xFD
providence pot    \xFD\x13\x02\x02\x76\xFD
pungent providence pot    \xFD\x13\x02\x02\x71\xFD
care package    \xFD\x13\x02\x02\x77\xFD
glittering fragment   \xFD\x13\x02\x02\x78\xFD
storeroom key   \xFD\x13\x02\x02\x79\xFD
Zeelozok's earplug    \xFD\x13\x02\x02\x7A\xFD
barge multi-ticket    \xFD\x13\x02\x02\x8C\xFD
manaclipper multi-ticket    \xFD\x13\x02\x02\x8D\xFD
censer of abandonment   \xFD\x13\x02\x02\x9E\xFD
censer of antipathy   \xFD\x13\x02\x02\x9F\xFD
censer of animus    \xFD\x13\x02\x02\xA0\xFD
censer of acrimony    \xFD\x13\x02\x02\xA1\xFD
monarch beard   \xFD\x13\x02\x02\xA2\xFD
astral covenant   \xFD\x13\x02\x02\xA3\xFD
shaft 2716 operating lever    \xFD\x13\x02\x02\xA4\xFD
shaft gate operating dial   \xFD\x13\x02\x02\xC3\xFD
zephyr fan    \xFD\x13\x02\x02\xA5\xFD
miasma filter   \xFD\x13\x02\x02\xA6\xFD
vessel of light   \xFD\x13\x02\x02\x9D\xFD
particularly poignant petal   \xFD\x13\x02\x02\xA7\xFD
antique amulet    \xFD\x13\x02\x02\xA8\xFD
cathedral medallion   \xFD\x13\x02\x02\xA9\xFD
letters from Ulmia and Prishe   \xFD\x13\x02\x02\xBD\xFD
red oil   \xFD\x13\x02\x02\xC0\xFD
Marble Bridge coaster   \xFD\x13\x02\x02\xC1\xFD
lamp lighter's membership card    \xFD\x13\x02\x02\xC2\xFD
mysterious amulet   \xFD\x13\x02\x02\xC4\xFD
mire incense    \xFD\x13\x02\x02\xC5\xFD
ornamented scroll   \xFD\x13\x02\x02\xC8\xFD
Better Humes and Mannequins   \xFD\x13\x02\x02\xC9\xFD
Caliginous Blade    \xFD\x13\x02\x02\xCB\xFD
Shaded Cruse    \xFD\x13\x02\x02\xCE\xFD
letter from Shikaree X    \xFD\x13\x02\x02\xCF\xFD
letter from Shikaree Y    \xFD\x13\x02\x02\xD1\xFD
letter from the Mithran Trackers    \xFD\x13\x02\x02\xD2\xFD
Monarch Linn Patrol Permit    \xFD\x13\x02\x02\xD0\xFD
communication from Tzee Xicu    \xFD\x13\x02\x02\xD3\xFD
Orcish seeker bats    \xFD\x13\x02\x02\xD4\xFD
vault quipus    \xFD\x13\x02\x02\xD5\xFD
Goblin recommendation letter    \xFD\x13\x02\x02\xD6\xFD
costume kit   \xFD\x13\x02\x02\xD7\xFD
vitrallum   \xFD\x13\x02\x02\xDC\xFD
opalescent stone    \xFD\x13\x02\x02\xDD\xFD
old woman's portrait    \xFD\x13\x02\x02\xDF\xFD
glimmering mica   \xFD\x13\x02\x02\xE0\xFD
mistroot    \xFD\x13\x02\x02\xE1\xFD
lunascent log   \xFD\x13\x02\x02\xE2\xFD
red Sentinel badge    \xFD\x13\x02\x02\xE7\xFD
blue Sentinel badge   \xFD\x13\x02\x02\xE8\xFD
green Sentinel badge    \xFD\x13\x02\x02\xE9\xFD
white Sentinel badge    \xFD\x13\x02\x02\xEA\xFD
rainbow resonator   \xFD\x13\x02\x01\x6B\xFD
eye of flames   \xFD\x13\x02\x02\xEB\xFD
eye of tremors    \xFD\x13\x02\x02\xEC\xFD
eye of tides    \xFD\x13\x02\x02\xED\xFD
eye of gales    \xFD\x13\x02\x02\xEE\xFD
eye of frost    \xFD\x13\x02\x02\xEF\xFD
eye of storms   \xFD\x13\x02\x02\xF0\xFD
faded ruby    \xFD\x13\x02\x01\x6C\xFD
red invitation card   \xFD\x13\x02\x02\xF1\xFD
blue invitation card    \xFD\x13\x02\x02\xF2\xFD
green invitation card   \xFD\x13\x02\x02\xF3\xFD
white invitation card   \xFD\x13\x02\x02\xF4\xFD
Silver Sea ferry ticket   \xFD\x13\x02\x02\xF8\xFD
moonlight ore   \xFD\x13\x02\x02\xF9\xFD
Leujaoam Assault orders   \xFD\x13\x02\x02\xFA\xFD
Mamool Ja Assault orders    \xFD\x13\x02\x02\xFB\xFD
Lebros Assault orders   \xFD\x13\x02\x02\xFC\xFD
Periqia Assault orders    \xFD\x13\x02\x02\xFD\xFD
Ilrusi Assault orders   \xFD\x13\x02\x02\xFE\xFD
electrocell   \xFD\x13\x02\x03\x00\xFD
electropot    \xFD\x13\x02\x03\x01\xFD
electrolocomotive   \xFD\x13\x02\x03\x02\xFD
vial of luminous water    \xFD\x13\x02\x03\x04\xFD
image recorder    \xFD\x13\x02\x03\x05\xFD
supplies package    \xFD\x13\x02\x03\x07\xFD
rainbow berry   \xFD\x13\x02\x03\x08\xFD
PSC Wildcat badge   \xFD\x13\x02\x03\x0C\xFD
runic portal use permit   \xFD\x13\x02\x03\x0E\xFD
PFC Wildcat badge   \xFD\x13\x02\x03\x0F\xFD
SP Wildcat badge    \xFD\x13\x02\x03\x10\xFD
LC Wildcat badge    \xFD\x13\x02\x03\x1A\xFD
C Wildcat badge   \xFD\x13\x02\x03\x1B\xFD
S Wildcat badge   \xFD\x13\x02\x03\x39\xFD
SM Wildcat badge    \xFD\x13\x02\x03\x3A\xFD
CS Wildcat badge    \xFD\x13\x02\x03\x3B\xFD
SL Wildcat badge    \xFD\x13\x02\x03\x7E\xFD
FL Wildcat badge    \xFD\x13\x02\x03\x84\xFD
Raillefal's letter    \xFD\x13\x02\x03\x11\xFD
Imperial Army I.D. tag    \xFD\x13\x02\x03\x13\xFD
Raillefal's note    \xFD\x13\x02\x03\x14\xFD
Dark Rider hoofprint    \xFD\x13\x02\x03\x15\xFD
bag of gold pieces    \xFD\x13\x02\x03\x16\xFD
forgotten hexagun   \xFD\x13\x02\x03\x17\xFD
plasma oil    \xFD\x13\x02\x03\x18\xFD
plasma rock   \xFD\x13\x02\x03\x19\xFD
pot of Tsetseroon's stew    \xFD\x13\x02\x03\x1C\xFD
Assault armband   \xFD\x13\x02\x03\x1D\xFD
antique automaton   \xFD\x13\x02\x03\x1E\xFD
red bell    \xFD\x13\x02\x03\x1F\xFD
blue bell   \xFD\x13\x02\x03\x20\xFD
musical score - 1st page    \xFD\x13\x02\x03\x21\xFD
musical score - 2nd page    \xFD\x13\x02\x03\x22\xFD
Merrow homunculus   \xFD\x13\x02\x03\x23\xFD
Lamia homunculus    \xFD\x13\x02\x03\x24\xFD
Munahda's package   \xFD\x13\x02\x03\x25\xFD
Ephramadian gold coin   \xFD\x13\x02\x03\x12\xFD
confidential Imperial order   \xFD\x13\x02\x03\x27\xFD
secret Imperial order   \xFD\x13\x02\x03\x28\xFD
white handkerchief    \xFD\x13\x02\x03\x26\xFD
handkerchief    \xFD\x13\x02\x03\x29\xFD
dirty handkerchief    \xFD\x13\x02\x03\x2A\xFD
vial of spectral scent    \xFD\x13\x02\x03\x2D\xFD
empty test tube #1    \xFD\x13\x02\x03\x2E\xFD
empty test tube #2    \xFD\x13\x02\x03\x2F\xFD
empty test tube #3    \xFD\x13\x02\x03\x30\xFD
empty test tube #4    \xFD\x13\x02\x03\x31\xFD
empty test tube #5    \xFD\x13\x02\x03\x32\xFD
test tube #1    \xFD\x13\x02\x03\x33\xFD
test tube #2    \xFD\x13\x02\x03\x34\xFD
test tube #3    \xFD\x13\x02\x03\x35\xFD
test tube #4    \xFD\x13\x02\x03\x36\xFD
test tube #5    \xFD\x13\x02\x03\x37\xFD
quartz transmitter    \xFD\x13\x02\x03\x38\xFD
だいじなもの???   \xFD\x13\x02\x03\x3C\xFD
magus order slip    \xFD\x13\x02\x03\x42\xFD
sealed Immortal envelope    \xFD\x13\x02\x03\x43\xFD
story of an impatient chocobo   \xFD\x13\x02\x03\x45\xFD
story of a curious chocobo    \xFD\x13\x02\x03\x46\xFD
story of a worrisome chocobo    \xFD\x13\x02\x03\x47\xFD
story of a youthful chocobo   \xFD\x13\x02\x03\x48\xFD
story of a happy chocobo    \xFD\x13\x02\x03\x49\xFD
Mamool Ja mandate   \xFD\x13\x02\x03\x4A\xFD
Valkeng's memory chip   \xFD\x13\x02\x03\x4B\xFD
toggle switch   \xFD\x13\x02\x03\x4C\xFD
Leleroon's letter (green)   \xFD\x13\x02\x03\x4D\xFD
Leleroon's letter (blue)    \xFD\x13\x02\x03\x4E\xFD
Leleroon's letter (red)   \xFD\x13\x02\x03\x4F\xFD
life float    \xFD\x13\x02\x03\x50\xFD
wheel lock trigger    \xFD\x13\x02\x03\x51\xFD
story of a diligent chocobo   \xFD\x13\x02\x03\x52\xFD
letter from Bernahn   \xFD\x13\x02\x03\x55\xFD
Remnants Permit   \xFD\x13\x02\x03\x56\xFD
lilac ribbon    \xFD\x13\x02\x03\x57\xFD
Periqia Assault area entry permit   \xFD\x13\x02\x03\x5C\xFD
scourshroom   \xFD\x13\x02\x03\x6C\xFD
Nyzul Isle Assault orders   \xFD\x13\x02\x03\x6E\xFD
Rossweisse's feather    \xFD\x13\x02\x03\x72\xFD
Grimgerde's feather   \xFD\x13\x02\x03\x73\xFD
Siegrune's feather    \xFD\x13\x02\x03\x74\xFD
Helmwige's feather    \xFD\x13\x02\x03\x75\xFD
Schwertleite's feather    \xFD\x13\x02\x03\x76\xFD
Waltraute's feather   \xFD\x13\x02\x03\x77\xFD
Ortlinde's feather    \xFD\x13\x02\x03\x78\xFD
Gerhilde's feather    \xFD\x13\x02\x03\x79\xFD
Brunhilde's feather   \xFD\x13\x02\x03\x7A\xFD
percipient eye    \xFD\x13\x02\x03\x6D\xFD
luminian dagger   \xFD\x13\x02\x03\x7D\xFD
Moghancement: Fire    \xFD\x13\x02\x02\x00\xFD
Moghancement: Ice   \xFD\x13\x02\x02\x01\xFD
Moghancement: Wind    \xFD\x13\x02\x02\x02\xFD
Moghancement: Earth   \xFD\x13\x02\x02\x03\xFD
Moghancement: Lightning   \xFD\x13\x02\x02\x04\xFD
Moghancement: Water   \xFD\x13\x02\x02\x05\xFD
Moghancement: Light   \xFD\x13\x02\x02\x06\xFD
Moghancement: Dark    \xFD\x13\x02\x02\x07\xFD
Moghancement: Experience    \xFD\x13\x02\x02\x08\xFD
Moghancement: Gardening   \xFD\x13\x02\x02\x09\xFD
Moghancement: Desynthesis   \xFD\x13\x02\x02\x0A\xFD
Moghancement: Fishing   \xFD\x13\x02\x02\x0B\xFD
Moghancement: Woodworking   \xFD\x13\x02\x02\x0C\xFD
Moghancement: Smithing    \xFD\x13\x02\x02\x0D\xFD
Moghancement: Goldsmithing    \xFD\x13\x02\x02\x0E\xFD
Moghancement: Clothcraft    \xFD\x13\x02\x02\x0F\xFD
Moghancement: Leathercraft    \xFD\x13\x02\x02\x10\xFD
Moghancement: Bonecraft   \xFD\x13\x02\x02\x11\xFD
Moghancement: Alchemy   \xFD\x13\x02\x02\x12\xFD
Moghancement: Cooking   \xFD\x13\x02\x02\x13\xFD
Moghancement: Conquest    \xFD\x13\x02\x02\x14\xFD
Moghancement: Region    \xFD\x13\x02\x02\x15\xFD
Moghancement: Fishing   \xFD\x13\x02\x02\x16\xFD
Moghancement: San. Conquest   \xFD\x13\x02\x02\x17\xFD
Moghancement: Bas. Conquest   \xFD\x13\x02\x02\x18\xFD
Moghancement: Win. Conquest   \xFD\x13\x02\x02\x19\xFD
Moghancement: Money   \xFD\x13\x02\x02\x1A\xFD
Moghancement: Campaign    \xFD\x13\x02\x02\x1B\xFD
Moglification: Fishing    \xFD\x13\x02\x02\x20\xFD
Moglification: Woodworking    \xFD\x13\x02\x02\x21\xFD
Moglification: Smithing   \xFD\x13\x02\x02\x22\xFD
Moglification: Goldsmithing   \xFD\x13\x02\x02\x23\xFD
Moglification: Clothcraft   \xFD\x13\x02\x02\x24\xFD
Moglification: Leathercraft   \xFD\x13\x02\x02\x25\xFD
Moglification: Bonecraft    \xFD\x13\x02\x02\x26\xFD
Moglification: Alchemy    \xFD\x13\x02\x02\x27\xFD
Moglification: Cooking    \xFD\x13\x02\x02\x28\xFD
photopticator   \xFD\x13\x02\x03\x7C\xFD
Officer Academy manual    \xFD\x13\x02\x03\x80\xFD
Biyaada's letter    \xFD\x13\x02\x03\x7F\xFD
Allied Council Summons    \xFD\x13\x02\x03\x81\xFD
Nyzul Isle route    \xFD\x13\x02\x03\x82\xFD
mythril mirror    \xFD\x13\x02\x03\x83\xFD
Chocobo Circuit grandstand pass   \xFD\x13\x02\x03\x8C\xFD
stardust pebble   \xFD\x13\x02\x03\x8F\xFD
left map piece    \xFD\x13\x02\x03\x90\xFD
middle map piece    \xFD\x13\x02\x03\x91\xFD
right map piece   \xFD\x13\x02\x03\x92\xFD
battle rations    \xFD\x13\x02\x03\x95\xFD
clump of animal hair    \xFD\x13\x02\x03\x96\xFD
xhifhut   \xFD\x13\x02\x03\x97\xFD
warning letter    \xFD\x13\x02\x03\x98\xFD
red recommendation letter   \xFD\x13\x02\x03\x99\xFD
blue recommendation letter    \xFD\x13\x02\x03\x9A\xFD
green recommendation letter   \xFD\x13\x02\x03\x9B\xFD
Bronze Ribbon of Service ∮    \xFD\x13\x02\x03\x9C\xFD
Brass Ribbon of Service ∮∮    \xFD\x13\x02\x03\x9D\xFD
Allied Ribbon of Bravery ∮∮∮    \xFD\x13\x02\x03\x9E\xFD
Allied Ribbon of Glory ∮∮∮∮   \xFD\x13\x02\x03\x9F\xFD
Bronze Star ∮   \xFD\x13\x02\x03\xA0\xFD
Sterling Star ∮∮    \xFD\x13\x02\x03\xA1\xFD
Mythril Star ∮∮∮    \xFD\x13\x02\x03\xA2\xFD
Golden Star ∮∮∮∮    \xFD\x13\x02\x03\xA3\xFD
Copper Emblem of Service ∮    \xFD\x13\x02\x03\xA4\xFD
Iron Emblem of Service ∮∮   \xFD\x13\x02\x03\xA5\xFD
Steelknight Emblem ∮∮∮    \xFD\x13\x02\x03\xA6\xFD
Holyknight Emblem ∮∮∮∮    \xFD\x13\x02\x03\xA7\xFD
Brass Wings of Service ∮    \xFD\x13\x02\x03\xA8\xFD
Mythril Wings of Service ∮∮   \xFD\x13\x02\x03\xA9\xFD
Wings of Integrity ∮∮∮    \xFD\x13\x02\x03\xAA\xFD
Wings of Honor ∮∮∮∮   \xFD\x13\x02\x03\xAB\xFD
Starlight Medal ∮   \xFD\x13\x02\x03\xAC\xFD
Moonlight Medal ∮∮    \xFD\x13\x02\x03\xAD\xFD
Dawnlight Medal ∮∮∮   \xFD\x13\x02\x03\xAE\xFD
Medal of Altana ∮∮∮∮    \xFD\x13\x02\x03\xAF\xFD
supply order    \xFD\x13\x02\x03\xB1\xFD
Zonpa-Zippa's All-Purpose Putty   \xFD\x13\x02\x03\xB3\xFD
Scoop-Dedicated Linkpearl   \xFD\x13\x02\x03\xB4\xFD
firepower case    \xFD\x13\x02\x03\xB5\xFD
charred propeller   \xFD\x13\x02\x03\xB6\xFD
piece of shattered lumber   \xFD\x13\x02\x03\xB7\xFD
oxidized plate    \xFD\x13\x02\x03\xB8\xFD
piece of kionite    \xFD\x13\x02\x03\xB9\xFD
Ranpi-Monpi Specialty   \xFD\x13\x02\x03\xBA\xFD
culinary knife    \xFD\x13\x02\x03\xBB\xFD
fireblossom   \xFD\x13\x02\x03\xBC\xFD
"The Healing Herb"    \xFD\x13\x02\x03\xBD\xFD
small starfruit   \xFD\x13\x02\x03\xBE\xFD
inky black Yagudo feather   \xFD\x13\x02\x03\xBF\xFD
campaign supplies   \xFD\x13\x02\x03\xC0\xFD
mine shaft key    \xFD\x13\x02\x03\xC1\xFD
Vunkerl herb    \xFD\x13\x02\x03\xC6\xFD
Vunkerl herb memo   \xFD\x13\x02\x03\xC7\xFD
Wyatt's proposal    \xFD\x13\x02\x03\xCD\xFD
evil warding seal   \xFD\x13\x02\x03\xC8\xFD
ornate package    \xFD\x13\x02\x03\xC9\xFD
sheaf of handmade incense   \xFD\x13\x02\x03\xCA\xFD
leather-bound book    \xFD\x13\x02\x03\xCB\xFD
lynx pelt   \xFD\x13\x02\x03\xCC\xFD
fort key    \xFD\x13\x02\x03\xCE\xFD
Ulbrecht's sealed letter    \xFD\x13\x02\x03\xCF\xFD
Schultz's sealed letter   \xFD\x13\x02\x03\xD0\xFD
Ulbrecht's mortarboard    \xFD\x13\x02\x03\xD9\xFD
unaddressed sealed letter   \xFD\x13\x02\x03\xD1\xFD
porting magic transcript    \xFD\x13\x02\x03\xD2\xFD
sample of Grauberg chert    \xFD\x13\x02\x03\xD3\xFD
Drogarogan bonemeal   \xFD\x13\x02\x03\xD4\xFD
Slug mucus    \xFD\x13\x02\x03\xD5\xFD
Djinn ember   \xFD\x13\x02\x03\xD6\xFD
Rafflesia dreamspit   \xFD\x13\x02\x03\xD7\xFD
Peiste dung   \xFD\x13\x02\x03\xD8\xFD
Beastman Confederate crate    \xFD\x13\x02\x03\xDA\xFD
military scrip    \xFD\x13\x02\x03\xDB\xFD
silvermine key    \xFD\x13\x02\x03\xDC\xFD
red prize balloon   \xFD\x13\x02\x03\xDD\xFD
blue prize balloon    \xFD\x13\x02\x03\xDE\xFD
green prize ballon    \xFD\x13\x02\x03\xDF\xFD
Travonce's escort award   \xFD\x13\x02\x03\xE0\xFD
Ken's escort award    \xFD\x13\x02\x03\xE1\xFD
Emptiness investigation note    \xFD\x13\x02\x03\xE2\xFD
tigris stone    \xFD\x13\x02\x03\xE3\xFD
diamond seal    \xFD\x13\x02\x03\xE4\xFD
Xicu's rosary   \xFD\x13\x02\x03\xE5\xFD
maroon seal   \xFD\x13\x02\x03\xE6\xFD
apple green seal    \xFD\x13\x02\x03\xE7\xFD
charcoal grey seal    \xFD\x13\x02\x03\xE8\xFD
deep purple seal    \xFD\x13\x02\x03\xE9\xFD
chestnut-colored seal   \xFD\x13\x02\x03\xEA\xFD
lilac-colored seal    \xFD\x13\x02\x03\xEB\xFD
cerise seal   \xFD\x13\x02\x03\xEC\xFD
salmon-colored seal   \xFD\x13\x02\x03\xED\xFD
purplish grey seal    \xFD\x13\x02\x03\xEE\xFD
gold-colored seal   \xFD\x13\x02\x03\xEF\xFD
copper-colored seal   \xFD\x13\x02\x03\xF0\xFD
bright blue seal    \xFD\x13\x02\x03\xF1\xFD
pine green seal   \xFD\x13\x02\x03\xF2\xFD
amber-colored seal    \xFD\x13\x02\x03\xF3\xFD
fallow-colored seal   \xFD\x13\x02\x03\xF4\xFD
taupe-colored seal    \xFD\x13\x02\x03\xF5\xFD
sienna-colored seal   \xFD\x13\x02\x03\xF6\xFD
lavender-colored seal   \xFD\x13\x02\x03\xF7\xFD
Sicklemoon salt   \xFD\x13\x02\x03\xF8\xFD
Silver Sea salt   \xFD\x13\x02\x03\xF9\xFD
Cyan Deep salt    \xFD\x13\x02\x03\xFA\xFD
Orcish warmachine body    \xFD\x13\x02\x03\xFB\xFD
Paparoon's sealed invitation    \xFD\x13\x02\x03\xFC\xFD
Data Analyzer and Logger EX   \xFD\x13\x02\x03\xFD\xFD
Mayakov show ticket   \xFD\x13\x02\x03\xFE\xFD
Serpentking Zahak relief    \xFD\x13\x02\x03\xFF\xFD
Serpentking Zahak relief shard    \xFD\x13\x02\x04\x01\xFD
"Imperial Lineage" chapter I    \xFD\x13\x02\x04\x02\xFD
"Imperial Lineage" chapter II   \xFD\x13\x02\x04\x03\xFD
"Imperial Lineage" chapter III    \xFD\x13\x02\x04\x04\xFD
"Imperial Lineage" chapter IV   \xFD\x13\x02\x04\x05\xFD
"Imperial Lineage" chapter V    \xFD\x13\x02\x04\x06\xFD
"Imperial Lineage" chapter VI   \xFD\x13\x02\x04\x07\xFD
"Imperial Lineage" chapter VII    \xFD\x13\x02\x04\x08\xFD
"Imperial Lineage" chapter VIII   \xFD\x13\x02\x04\x09\xFD
The Words of Do'Nhu I   \xFD\x13\x02\x04\x0A\xFD
The Words of Do'Nhu II    \xFD\x13\x02\x04\x0B\xFD
The Words of Do'Nhu III   \xFD\x13\x02\x04\x0C\xFD
The Words of Do'Nhu IV    \xFD\x13\x02\x04\x0D\xFD
The Words of Do'Nhu V   \xFD\x13\x02\x04\x0E\xFD
The Words of Do'Nhu VI    \xFD\x13\x02\x04\x0F\xFD
The Words of Do'Nhu VII   \xFD\x13\x02\x04\x10\xFD
The Words of Do'Nhu VIII    \xFD\x13\x02\x04\x11\xFD
Habalo's Eclogue - verse I    \xFD\x13\x02\x04\x12\xFD
Habalo's Eclogue - verse II   \xFD\x13\x02\x04\x13\xFD
Habalo's Eclogue - verse III    \xFD\x13\x02\x04\x14\xFD
Habalo's Eclogue - verse IV   \xFD\x13\x02\x04\x15\xFD
Habalo's Eclogue - verse V    \xFD\x13\x02\x04\x16\xFD
Habalo's Eclogue - verse VI   \xFD\x13\x02\x04\x17\xFD
Habalo's Eclogue - verse VII    \xFD\x13\x02\x04\x18\xFD
Habalo's Eclogue - verse VIII   \xFD\x13\x02\x04\x19\xFD
signal firecracker    \xFD\x13\x02\x04\x1A\xFD
number eight shelter key    \xFD\x13\x02\x04\x1B\xFD
torn patches of leather   \xFD\x13\x02\x04\x1C\xFD
repaired handbag    \xFD\x13\x02\x04\x1D\xFD
Conquest promotion voucher    \xFD\x13\x02\x04\x24\xFD
Cernunnos resin   \xFD\x13\x02\x04\x25\xFD
Count Borel's letter    \xFD\x13\x02\x04\x26\xFD
underpass hatch key   \xFD\x13\x02\x04\x27\xFD
bottle of treant tonic    \xFD\x13\x02\x04\x28\xFD
timber survey checklist   \xFD\x13\x02\x04\x29\xFD
snow-themed gift token    \xFD\x13\x02\x04\x2A\xFD
star-themed gift token    \xFD\x13\x02\x04\x2B\xFD
bell-themed gift token    \xFD\x13\x02\x04\x2C\xFD
flare grenade   \xFD\x13\x02\x04\x2D\xFD
Ronfaure maple syrup    \xFD\x13\x02\x04\x2E\xFD
long-life biscuits    \xFD\x13\x02\x04\x2F\xFD
flask of Kingdom water    \xFD\x13\x02\x04\x30\xFD
biscuit a la Rholont    \xFD\x13\x02\x04\x31\xFD
letter to Count Aurchiat    \xFD\x13\x02\x04\x32\xFD
length of Jugner ivy    \xFD\x13\x02\x04\x33\xFD
darkfire cinder   \xFD\x13\x02\x04\x34\xFD
floelight stone   \xFD\x13\x02\x04\x35\xFD
liquid quicksilver    \xFD\x13\x02\x04\x36\xFD
gelid sulfur    \xFD\x13\x02\x04\x37\xFD
beastbane bullets   \xFD\x13\x02\x04\x38\xFD
Gleipnir    \xFD\x13\x02\x04\x39\xFD
scintillant strand    \xFD\x13\x02\x04\x3A\xFD
refulgent strand    \xFD\x13\x02\x04\x3B\xFD
irradiant strand    \xFD\x13\x02\x04\x3C\xFD
bowl of bland Goblin salad    \xFD\x13\x02\x04\x3D\xFD
jug of greasy Goblin juice    \xFD\x13\x02\x04\x3E\xFD
chunk of smoked Goblin grub   \xFD\x13\x02\x04\x3F\xFD
Seedspall Roseum    \xFD\x13\x02\x04\x40\xFD
Seedspall Caerulum    \xFD\x13\x02\x04\x41\xFD
Seedspall Viridis   \xFD\x13\x02\x04\x42\xFD
Mark of Seed    \xFD\x13\x02\x04\x43\xFD
Amicitia Stone    \xFD\x13\x02\x04\x44\xFD
Veritas Stone   \xFD\x13\x02\x04\x45\xFD
Sapientia Stone   \xFD\x13\x02\x04\x46\xFD
Sanctitas Stone   \xFD\x13\x02\x04\x47\xFD
Felicitas Stone   \xFD\x13\x02\x04\x48\xFD
Divitia Stone   \xFD\x13\x02\x04\x49\xFD
Studium Stone   \xFD\x13\x02\x04\x4A\xFD
Amoris Stone    \xFD\x13\x02\x04\x4B\xFD
Caritas Stone   \xFD\x13\x02\x04\x4C\xFD
Constantia Stone    \xFD\x13\x02\x04\x4D\xFD
Spei Stone    \xFD\x13\x02\x04\x4E\xFD
Salus Stone   \xFD\x13\x02\x04\x4F\xFD
Omnis Stone   \xFD\x13\x02\x04\x50\xFD
Crimson Key   \xFD\x13\x02\x04\x51\xFD
Viridian Key    \xFD\x13\x02\x04\x52\xFD
Amber Key   \xFD\x13\x02\x04\x53\xFD
Azure Key   \xFD\x13\x02\x04\x54\xFD
Ivory Key   \xFD\x13\x02\x04\x55\xFD
Ebon Key    \xFD\x13\x02\x04\x56\xFD
beastbane arrowheads    \xFD\x13\x02\x04\x58\xFD
red-labeled crate   \xFD\x13\x02\x04\x59\xFD
blue-labeled crate    \xFD\x13\x02\x04\x5A\xFD
green-labeled crate   \xFD\x13\x02\x04\x5B\xFD
"Elite Training: Introduction"    \xFD\x13\x02\x04\x5C\xFD
"Elite Training: Chapter 1"   \xFD\x13\x02\x04\x5D\xFD
"Elite Training: Chapter 2"   \xFD\x13\x02\x04\x5E\xFD
"Elite Training: Chapter 3"   \xFD\x13\x02\x04\x5F\xFD
"Elite Training: Chapter 4"   \xFD\x13\x02\x04\x60\xFD
"Elite Training: Chapter 5"   \xFD\x13\x02\x04\x61\xFD
"Elite Training: Chapter 6"   \xFD\x13\x02\x04\x62\xFD
"Elite Training: Chapter 7"   \xFD\x13\x02\x04\x63\xFD
unadorned ring    \xFD\x13\x02\x04\x64\xFD
Mog Bonanza Kupon B   \xFD\x13\x02\x04\x65\xFD
Mog Bonanza Kupon X   \xFD\x13\x02\x04\x66\xFD
Mog Bonanza Kupon A   \xFD\x13\x02\x04\xD3\xFD
Prismatic Key   \xFD\x13\x02\x04\x67\xFD
shadow bug    \xFD\x13\x02\x04\x68\xFD
white coral key   \xFD\x13\x02\x04\x69\xFD
blue coral key    \xFD\x13\x02\x04\x6A\xFD
peach coral key   \xFD\x13\x02\x04\x6B\xFD
black coral key   \xFD\x13\x02\x04\x6C\xFD
red coral key   \xFD\x13\x02\x04\x6D\xFD
angel skin key    \xFD\x13\x02\x04\x6E\xFD
